array	sample	purity
TCGA-OR-A5J1-01	TCGA-OR-A5J1-01A-11D-A29H-01	0.9
TCGA-OR-A5J2-01	TCGA-OR-A5J2-01A-11D-A29H-01	0.89
TCGA-OR-A5J3-01	TCGA-OR-A5J3-01A-11D-A29H-01	0.93
TCGA-OR-A5J4-01	TCGA-OR-A5J4-01A-11D-A29H-01	0.87
TCGA-OR-A5J5-01	TCGA-OR-A5J5-01A-11D-A29H-01	0.93
TCGA-OR-A5J6-01	TCGA-OR-A5J6-01A-31D-A29H-01	0.69
TCGA-OR-A5J7-01	TCGA-OR-A5J7-01A-11D-A29H-01	0.84
TCGA-OR-A5J8-01	TCGA-OR-A5J8-01A-11D-A29H-01	0.76
TCGA-OR-A5J9-01	TCGA-OR-A5J9-01A-11D-A29H-01	0.84
TCGA-OR-A5JA-01	TCGA-OR-A5JA-01A-11D-A29H-01	0.75
TCGA-OR-A5JB-01	TCGA-OR-A5JB-01A-11D-A29H-01	0.75
TCGA-OR-A5JC-01	TCGA-OR-A5JC-01A-11D-A29H-01	0.75
TCGA-OR-A5JD-01	TCGA-OR-A5JD-01A-11D-A29H-01	0.7
TCGA-OR-A5JE-01	TCGA-OR-A5JE-01A-11D-A29H-01	0.72
TCGA-OR-A5JF-01	TCGA-OR-A5JF-01A-11D-A29H-01	0.87
TCGA-OR-A5JG-01	TCGA-OR-A5JG-01A-11D-A29H-01	0.76
TCGA-OR-A5JH-01	TCGA-OR-A5JH-01A-11D-A309-01	0.52
TCGA-OR-A5JI-01	TCGA-OR-A5JI-01A-11D-A29H-01	0.62
TCGA-OR-A5JJ-01	TCGA-OR-A5JJ-01A-11D-A29H-01	0.9
TCGA-OR-A5JK-01	TCGA-OR-A5JK-01A-11D-A29H-01	0.74
TCGA-OR-A5JL-01	TCGA-OR-A5JL-01A-11D-A29H-01	0.82
TCGA-OR-A5JM-01	TCGA-OR-A5JM-01A-11D-A29H-01	0.97
TCGA-OR-A5JO-01	TCGA-OR-A5JO-01A-11D-A29H-01	0.55
TCGA-OR-A5JP-01	TCGA-OR-A5JP-01A-11D-A29H-01	0.8
TCGA-OR-A5JQ-01	TCGA-OR-A5JQ-01A-11D-A29H-01	0.77
TCGA-OR-A5JR-01	TCGA-OR-A5JR-01A-11D-A29H-01	0.88
TCGA-OR-A5JS-01	TCGA-OR-A5JS-01A-11D-A29H-01	0.85
TCGA-OR-A5JT-01	TCGA-OR-A5JT-01A-11D-A29H-01	0.88
TCGA-OR-A5JU-01	TCGA-OR-A5JU-01A-11D-A309-01	0.2
TCGA-OR-A5JV-01	TCGA-OR-A5JV-01A-11D-A29H-01	0.46
TCGA-OR-A5JW-01	TCGA-OR-A5JW-01A-11D-A29H-01	0.88
TCGA-OR-A5JX-01	TCGA-OR-A5JX-01A-11D-A29H-01	0.89
TCGA-OR-A5JY-01	TCGA-OR-A5JY-01A-31D-A29H-01	0.84
TCGA-OR-A5JZ-01	TCGA-OR-A5JZ-01A-11D-A29H-01	0.95
TCGA-OR-A5K0-01	TCGA-OR-A5K0-01A-11D-A29H-01	1
TCGA-OR-A5K1-01	TCGA-OR-A5K1-01A-11D-A29H-01	0.89
TCGA-OR-A5K2-01	TCGA-OR-A5K2-01A-11D-A29H-01	0.83
TCGA-OR-A5K3-01	TCGA-OR-A5K3-01A-11D-A29H-01	0.91
TCGA-OR-A5K4-01	TCGA-OR-A5K4-01A-11D-A29H-01	0.97
TCGA-OR-A5K5-01	TCGA-OR-A5K5-01A-11D-A29H-01	0.88
TCGA-OR-A5K6-01	TCGA-OR-A5K6-01A-11D-A29H-01	0.91
TCGA-OR-A5K8-01	TCGA-OR-A5K8-01A-11D-A29H-01	0.95
TCGA-OR-A5K9-01	TCGA-OR-A5K9-01A-11D-A29H-01	0.94
TCGA-OR-A5KB-01	TCGA-OR-A5KB-01A-11D-A309-01	0.59
TCGA-OR-A5KO-01	TCGA-OR-A5KO-01A-11D-A29H-01	0.96
TCGA-OR-A5KP-01	TCGA-OR-A5KP-01A-11D-A309-01	0.69
TCGA-OR-A5KQ-01	TCGA-OR-A5KQ-01A-11D-A309-01	0.8
TCGA-OR-A5KS-01	TCGA-OR-A5KS-01A-11D-A309-01	0.87
TCGA-OR-A5KT-01	TCGA-OR-A5KT-01A-11D-A29H-01	0.65
TCGA-OR-A5KU-01	TCGA-OR-A5KU-01A-11D-A29H-01	0.82
TCGA-OR-A5KV-01	TCGA-OR-A5KV-01A-11D-A29H-01	0.91
TCGA-OR-A5KW-01	TCGA-OR-A5KW-01A-11D-A29H-01	0.95
TCGA-OR-A5KX-01	TCGA-OR-A5KX-01A-11D-A29H-01	0.92
TCGA-OR-A5KY-01	TCGA-OR-A5KY-01A-11D-A29H-01	0.74
TCGA-OR-A5KZ-01	TCGA-OR-A5KZ-01A-11D-A29H-01	0.95
TCGA-OR-A5L1-01	TCGA-OR-A5L1-01A-11D-A309-01	0.82
TCGA-OR-A5L2-01	TCGA-OR-A5L2-01A-11D-A309-01	0.3
TCGA-OR-A5L3-01	TCGA-OR-A5L3-01A-11D-A29H-01	0.81
TCGA-OR-A5L4-01	TCGA-OR-A5L4-01A-11D-A29H-01	0.81
TCGA-OR-A5L5-01	TCGA-OR-A5L5-01A-11D-A29H-01	0.52
TCGA-OR-A5L6-01	TCGA-OR-A5L6-01A-11D-A29H-01	0.8
TCGA-OR-A5L8-01	TCGA-OR-A5L8-01A-11D-A29H-01	0.91
TCGA-OR-A5L9-01	TCGA-OR-A5L9-01A-11D-A29H-01	0.82
TCGA-OR-A5LA-01	TCGA-OR-A5LA-01A-11D-A29H-01	0.55
TCGA-OR-A5LB-01	TCGA-OR-A5LB-01A-11D-A29H-01	0.96
TCGA-OR-A5LC-01	TCGA-OR-A5LC-01A-11D-A29H-01	0.92
TCGA-OR-A5LD-01	TCGA-OR-A5LD-01A-11D-A29H-01	0.94
TCGA-OR-A5LE-01	TCGA-OR-A5LE-01A-11D-A29H-01	0.97
TCGA-OR-A5LF-01	TCGA-OR-A5LF-01A-11D-A309-01	0.72
TCGA-OR-A5LG-01	TCGA-OR-A5LG-01A-11D-A29H-01	0.92
TCGA-OR-A5LH-01	TCGA-OR-A5LH-01A-11D-A29H-01	0.85
TCGA-OR-A5LI-01	TCGA-OR-A5LI-01A-11D-A309-01	0.9
TCGA-OR-A5LJ-01	TCGA-OR-A5LJ-01A-11D-A29H-01	0.93
TCGA-OR-A5LK-01	TCGA-OR-A5LK-01A-11D-A29H-01	0.57
TCGA-OR-A5LL-01	TCGA-OR-A5LL-01A-11D-A29H-01	0.77
TCGA-OR-A5LM-01	TCGA-OR-A5LM-01A-11D-A29H-01	0.76
TCGA-OR-A5LN-01	TCGA-OR-A5LN-01A-11D-A29H-01	0.71
TCGA-OR-A5LO-01	TCGA-OR-A5LO-01A-11D-A29H-01	0.87
TCGA-OR-A5LP-01	TCGA-OR-A5LP-01A-11D-A29H-01	0.76
TCGA-OR-A5LR-01	TCGA-OR-A5LR-01A-11D-A29H-01	0.89
TCGA-OR-A5LS-01	TCGA-OR-A5LS-01A-11D-A29H-01	0.84
TCGA-OR-A5LT-01	TCGA-OR-A5LT-01A-11D-A29H-01	0.92
TCGA-OU-A5PI-01	TCGA-OU-A5PI-01A-12D-A29H-01	0.89
TCGA-P6-A5OH-01	TCGA-P6-A5OH-01A-11D-A309-01	0.8
